epoch,train_loss,train_recon_loss,train_cls_loss,train_contrastive_loss,train_proto_loss,train_acc,valid_loss,valid_recon_loss,valid_cls_loss,valid_contrastive_loss,valid_proto_loss,valid_acc
1,2.164755995522582,1.0013637777464341,0.6641847958307483,5.692053663786656,0.1235026111500823,0.8864704680155324,1.5133789119595744,0.9958154842665501,0.19665199607720316,5.057441645950798,0.012987818470370126,1.0
2,1.488959715260627,1.0025650307051905,0.09256065332180587,5.432854865339425,0.018117062856732348,1.0,1.3289169527142692,0.9995288191934874,0.020254020345852868,5.033553066768109,0.0041872802760237375,1.0
3,1.402112089561924,1.003867877777091,0.01825857025813087,5.383378824329123,0.01203472073512156,1.0,1.3146339228165895,0.9997697452111394,0.006217369993385133,5.0332780377349415,0.0036599943985227033,1.0
4,1.3906642076746467,1.0022241928424909,0.00838784300064565,5.380031371053294,0.011205598824266737,1.0,1.3112410025836303,1.0001952019476334,0.002907260818712179,5.033215689961161,0.0032640410764930706,1.0
5,1.3860094188888599,0.9994728256290295,0.004957123719031688,5.380268051949304,0.01031360633259393,1.0,1.3096026514421253,0.9996968400346828,0.0016536286713888099,5.033210310879463,0.0027957173466071957,1.0
6,1.3839800477929332,1.0004106772450272,0.003302910418458848,5.379836212899235,0.009173314272101163,1.0,1.3074629563529199,0.9951103628290688,0.0009772303230113958,5.033269909678258,0.0025972093229608717,1.0
7,1.379401678642368,0.993682229297185,0.0023288926224921094,5.3748226354830155,0.00800707149963644,1.0,1.3071658180156531,0.9960032364617672,0.000606175632962769,5.033403770554344,0.0021557490040978603,1.0
8,1.3783713155014004,0.9907278429260776,0.0016751759454553528,5.3783267526667515,0.0076248314021881945,1.0,1.3113179694987531,1.0107451089314163,0.00039038340860860166,5.033563061836158,0.0019828137360485805,1.0
9,1.3735510973313483,0.9781808684555855,0.0013050270921021742,5.376647962764706,0.006924393207851958,1.0,1.3056300125367601,0.9922331529439202,0.0002623170127529456,5.033910301981725,0.0018313342507363041,1.0
10,1.3710830831927268,0.9696724820716869,0.0009986251964353824,5.379822955988142,0.00643614885425235,1.0,1.3190044119351243,1.0375704084993822,0.0001782297561219469,5.033522128084508,0.0017012154293262933,1.0
11,1.3703566542705727,0.9683292001735547,0.000798413873658794,5.3809489087534175,0.0057393393909260584,1.0,1.3122455228042447,1.0156732253946477,0.00012943242201950776,5.0335546149786605,0.0014063769142312033,1.0
12,1.368172890480228,0.965495432212556,0.0005992667171979925,5.377042254713594,0.005033032751179456,1.0,1.3173673408198074,1.033014729649474,9.515335288514015e-05,5.033367444994404,0.001388485444664748,1.0
13,1.3675586475250108,0.961935908716928,0.0006080593230790367,5.3799260852041115,0.004769105619916321,1.0,1.3141754435966782,1.022637839701208,7.186627725785706e-05,5.033409759371827,0.0012604815421190568,1.0
14,1.3655537560798385,0.9585322880096873,0.0005183970990073318,5.3766562191226255,0.0042888126865652885,1.0,1.314181198818517,1.0230339486646711,5.391625880086197e-05,5.033320464160329,0.0011059468521254726,1.0
15,1.3657943298303592,0.9578733509872774,0.0004810457662435623,5.379266604650199,0.004195825953728234,1.0,1.3146436130167467,1.0246025896286741,4.466469905231282e-05,5.0334639798683884,0.0010506521501904944,1.0
16,1.3646532788784402,0.9566067477298762,0.00037945492620696577,5.377298698965182,0.0036639999958003027,1.0,1.2986852887897624,0.9708468880904758,3.632066164269305e-05,5.03460447243588,0.0009479951437684114,1.0
17,1.3657541031026654,0.9557826540330279,0.000333313125863937,5.384332542694251,0.0036388974247171775,1.0,1.314900809226837,1.0256640538421027,2.9554215253302557e-05,5.033561806314372,0.0009192581084230705,1.0
18,1.3642211936135586,0.9561104656435243,0.000282680198681367,5.377207497158787,0.0033276848303336456,1.0,1.3015157755998674,0.9807902753328761,2.3984000688057368e-05,5.0341598138937815,0.0008453365868864438,1.0
19,1.3609565780154527,0.9490136473110159,0.00025090819475949156,5.372698580587712,0.0029236293081312172,1.0,1.3109014823965799,1.0126240545503937,1.950122641336252e-05,5.033659339097261,0.0007257313959199279,1.0
20,1.3615548799258663,0.9486789140091239,0.0002803626433919212,5.376366967636458,0.002794857192912074,1.0,1.3130001144892447,1.0195627418108069,1.6948650480761555e-05,5.0337652630059635,0.0007225096620228043,1.0
21,1.36010834292695,0.9453122704009106,0.00020882055164656368,5.375403374415245,0.0024502516997113575,1.0,1.3108824039411682,1.011720611141027,1.5295060283589967e-05,5.035107610076605,0.0006586819747814921,1.0
22,1.357737415301734,0.9334701295891058,0.00023295740521790437,5.381107354831676,0.00248384900377683,1.0,1.3097625041329524,1.0081582120792887,1.2474501809588707e-05,5.0350510570337494,0.0005845836289325964,1.0
23,1.3536064878894878,0.923484392407821,0.00019189398490344916,5.376140863111408,0.0022821636468319775,1.0,1.2946798833575013,0.9577030464732798,1.1036547512777343e-05,5.035389569714744,0.0005599420126047995,1.0
24,1.3542582563357,0.9234945005662062,0.00018391721045415472,5.379615527000404,0.0022056938670370054,1.0,1.3107442440770332,1.0107591084231637,1.0244839286226052e-05,5.0361956591308,0.0005341732489538098,1.0
25,1.3534224910675663,0.919179522550206,0.0001739622650415542,5.381894804036327,0.0022313493052613614,1.0,1.3017865036476082,0.9812548291356796,8.375384967222547e-06,5.035773331845201,0.0004938952574844373,1.0
26,1.350191149686271,0.9096303318703124,0.00017647039369092225,5.380592613358598,0.002014046759375472,1.0,1.2979958226937005,0.9690634611191729,7.240263612621776e-06,5.035213563604944,0.00045361972075130016,1.0
27,1.3506134178724705,0.9118008683021634,0.00017918888640604003,5.379451639443215,0.002007233006443814,1.0,1.299499855218832,0.9737796769563062,6.74879639568055e-06,5.035378099121169,0.0005671284670676445,1.0
28,1.3478586161986903,0.9075294496358696,0.00014136936846311255,5.3721750283957554,0.002046724139384799,1.0,1.3090695208026089,1.0061208782120048,5.773477215386786e-06,5.034856135279099,0.0005124311903312736,1.0
29,1.345045949902097,0.9010280362306966,0.00013498092856905635,5.368436283990208,0.0018305387142847713,1.0,1.3048393824269053,0.9921691668584096,5.236066792188139e-06,5.0347613064571455,0.0004622023225817898,1.0
30,1.3447330588337445,0.8962028972117808,0.00013587406843337948,5.374359486660001,0.0017287807225809491,1.0,1.3026657264282326,0.9848977659349788,4.591824243234969e-06,5.034890019362637,0.00042754744563379616,1.0
31,1.3511652763991568,0.9048730067356023,0.0040420223595156,5.371951401221492,0.002542047786576631,0.9998978132025342,1.3283928818833257,1.0011125583038751,0.012481204680417942,5.058507144134484,0.007752913946161579,0.9979566816510013
32,1.3532886992635207,0.9196145797638277,0.0013900724114149388,5.373815327706133,0.0025022910311536424,0.9998978132025342,1.3026166504921113,0.9849559793337832,6.13037584323335e-06,5.034675011792668,0.0003774332353205073,1.0
33,1.344495958975432,0.8970872891136846,0.00014955523495548383,5.372535170208767,0.001426274113566629,1.0,1.3072539872425548,1.000722585647117,5.111730118283816e-06,5.034483938447105,0.000270478189667393,1.0
34,1.3405714523760595,0.8916024494921531,0.00010984088955631705,5.362163270540625,0.0010963618317111716,1.0,1.3100815838485238,1.010246348834106,3.706010710279434e-06,5.034475145897282,0.00021780344367180093,1.0
35,1.3414102305109799,0.8905427171948642,0.00011630579005395591,5.367801612709384,0.0011415224085979151,1.0,1.3034154289247164,0.9881666281245707,3.511856902130913e-06,5.0342136187411155,0.00023831849027932008,1.0
36,1.3423750030465733,0.8928600673097641,0.00010499624758874116,5.369119272041048,0.0011762075979526588,1.0,1.3002868301779775,0.976923826693709,3.2128208562010617e-06,5.035403441837188,0.00025146837621071105,1.0
37,1.335320122995285,0.8766430685326728,9.883869749188714e-05,5.3582629477249295,0.0011514753848595033,1.0,1.294484477799232,0.9579696050214436,2.588453260158511e-06,5.034879572984877,0.00023015154738106292,1.0
