group,source_file,count,mean_reconstruction_error,mean_classifier_attack_probability,mean_prototype_attack_probability,mean_distance_to_normal_prototype,classifier_detection_rate,prototype_detection_rate,latent95_detection_rate,fusion_cls_proto_detection_rate,fusion_all_detection_rate
FeatureGuideHumanMimic_v4,window1.csv,43,1.192653639372005,8.761727988099284e-07,0.00010455380952619232,1.2264241340548494,0.0,0.0,0.0,0.0,0.0
FeatureGuideHumanMimic_v4,window2.csv,193,1.1094259304703826,0.002812782577874846,0.0017318226672015924,1.244952805301686,0.0051813471502590676,0.0,0.02072538860103627,0.0051813471502590676,0.02072538860103627
FeatureGuideHumanMimic_v4,window3.csv,66,1.4983104422236935,0.3009557231391794,0.2953849908952896,1.7253373644568704,0.30303030303030304,0.30303030303030304,0.30303030303030304,0.30303030303030304,0.30303030303030304
FeatureGuideHumanMimic_v4,window4.csv,82,1.1765198300524455,0.641008293151772,0.6302998224494265,2.299858651510099,0.6463414634146342,0.6341463414634146,0.6707317073170732,0.6463414634146342,0.6707317073170732
normal,window_typing_10000.csv,10013,0.9419340434818374,9.38356631231589e-07,0.00012515777240234294,1.2528502555156842,0.0,0.0,0.050034954559073204,0.0,0.050034954559073204
