group,source_file,count,mean_reconstruction_error,mean_classifier_attack_probability,mean_prototype_attack_probability,mean_distance_to_normal_prototype,mean_distance_to_attack_prototype,classifier_detection_rate,prototype_detection_rate,recon90_detection_rate,recon95_detection_rate,latent95_detection_rate,oracle_or95_detection_rate,oracle_or90_detection_rate
AdaptiveMimic_v5_constrained_candidate_pool,window1.csv,296,0.9405514243486766,9.75269235700457e-07,0.00012023814053611352,1.234513086644379,3.0423977963022284,0.0,0.0,0.0777027027027027,0.0,0.0,0.0,0.0777027027027027
AdaptiveMimic_v5_constrained_candidate_pool,window2.csv,1144,0.829408198595047,1.067602616822305e-06,0.00013752872927035603,1.245944833005225,3.030515592415016,0.0,0.0,0.005244755244755245,0.0,0.0,0.0,0.005244755244755245
AdaptiveMimic_v5_constrained_candidate_pool,window3.csv,80,0.7801159866154194,9.034067318225425e-07,0.00010657841276042745,1.2272589534521103,3.0573314100503923,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AdaptiveMimic_v5_constrained_candidate_pool,window4.csv,152,0.8147452120718203,1.1057199686385837e-06,0.00010667556699971963,1.224277508886237,3.0586598437083397,0.0,0.0,0.0,0.0,0.0,0.0,0.0
normal,window_typing_10000.csv,10013,0.9419340434818374,9.38356631231589e-07,0.00012515777240234294,1.2528502555156842,3.06438829005211,0.0,0.0,0.10006990911814641,0.050034954559073204,0.050034954559073204,0.050034954559073204,0.10006990911814641
