feature,featureguide_v4_all,normal,or95_detected,or95_false_negative,fn_minus_normal,detected_minus_normal
burst_density,6.01265625,9.002955158294219,5.7144571428571425,6.262344497607655,-2.7406106606865634,-3.288498015437076
correction_ratio,0.04029462625220933,0.05658304686390763,0.041782677947635925,0.03904864995221099,-0.017534396911696642,-0.014800368916271706
current_key_category_id,2.0709375,1.8133905922301012,1.8297142857142854,2.2729186602870812,0.45952806805698,0.016323693484184165
flight_time,0.06662521593272681,0.01157314625270216,0.07737364510127473,0.0576253350499714,0.046052188797269245,0.06580049884857257
hold_time,0.11297295961529012,0.11009717424016102,0.10782074304308208,0.11728701655374185,0.00718984231358083,-0.002276431197078946
keys_per_second,6.01265625,9.002955158294219,5.7144571428571425,6.262344497607655,-2.7406106606865634,-3.288498015437076
modifier_count,0.0,0.020944771796664336,0.0,0.0,-0.020944771796664336,-0.020944771796664336
overlap_ratio,0.054578554057729885,0.23627840783293258,0.013692492708486546,0.08881329442192887,-0.1474651134110037,-0.22258591512444603
pause_duration,0.07321334851284818,0.04039501338003636,0.07897898080008367,0.06838566597568929,0.027990652595652935,0.03858396742004731
press_to_press_time,0.17940574970096346,0.12167006235456981,0.18502547948019843,0.17470023433557536,0.05303017198100554,0.06335541712562862
release_to_release_time,0.17956786972781016,0.12167012661019844,0.18512788851601736,0.17491235160371332,0.053242224993514886,0.06345776190581892
shortcut_flag,0.0,0.020944771796664336,0.0,0.0,-0.020944771796664336,-0.020944771796664336
simultaneous_key_count,1.0539583333333333,1.7040147807849795,1.0134857142857143,1.0878468899521532,-0.6161678908328263,-0.6905290664992652
timing_entropy,2.641298894079233,3.309915043814167,2.4813214090513247,2.7752513336959015,-0.5346637101182656,-0.8285936347628424
timing_variance,0.10757205279860228,0.12373413320001368,0.11932763853817728,0.09772885899752276,-0.02600527420249092,-0.004406494661836402
