group,source_file,count,or95_detected_count,or90_detected_count,mean_reconstruction_error,mean_classifier_attack_probability,mean_prototype_attack_probability,mean_distance_to_normal_prototype,or95_fn_count,or90_fn_count,or95_detection_rate_percent,or90_detection_rate_percent,or95_fn_rate_percent,or90_fn_rate_percent
FeatureGuideHumanMimic_v4,window1.csv,43,6,43,1.192653639372005,8.761727988099284e-07,0.00010455380952616576,1.2264241340548494,37,0,13.953488372093023,100.0,86.04651162790698,0.0
FeatureGuideHumanMimic_v4,window2.csv,193,50,108,1.1094259304703826,0.002812782577874845,0.0017318226672015647,1.244952805301686,143,85,25.906735751295333,55.95854922279793,74.09326424870466,44.04145077720207
FeatureGuideHumanMimic_v4,window3.csv,66,56,59,1.4983104422236935,0.3009557231391794,0.2953849908952896,1.7253373644568704,10,7,84.84848484848484,89.39393939393939,15.151515151515152,10.606060606060606
FeatureGuideHumanMimic_v4,window4.csv,82,63,72,1.1765198300524455,0.641008293151772,0.6302998224494265,2.299858651510099,19,10,76.82926829268293,87.8048780487805,23.170731707317074,12.195121951219512
