group,feature,count,mean,std,min,p25,p50,p75,max
normal,hold_time,10013,0.11009717424016102,0.004439426159777844,0.09392670631408688,0.10721194744110103,0.11015744209289548,0.11312451839447019,0.12387840270996091
normal,flight_time,10013,0.01157314625270216,0.042710139554229566,-0.03523833274841305,-0.006107673645019527,0.00576854705810549,0.020445938110351572,0.5411320352554321
normal,press_to_press_time,10013,0.12167006235456981,0.042260955890764354,0.07891021251678461,0.10546113967895504,0.11476562976837154,0.12916007995605466,0.6555271339416504
normal,release_to_release_time,10013,0.12167012661019844,0.04226853791935067,0.08051749706268307,0.10546049118041989,0.1147602796554565,0.12913515567779538,0.6562770700454712
normal,overlap_ratio,10013,0.23627840783293258,0.03854095972728454,0.12195848242907757,0.2092615386836347,0.23432106701523664,0.26390546085408134,0.36882715901742524
normal,simultaneous_key_count,10013,1.7040147807849795,0.10443396400519793,1.38,1.64,1.7,1.78,2.0
normal,modifier_count,10013,0.020944771796664336,0.021797616442658544,0.0,0.0,0.02,0.04,0.14
normal,shortcut_flag,10013,0.020944771796664336,0.021797616442658544,0.0,0.0,0.02,0.04,0.14
normal,correction_ratio,10013,0.05658304686390763,0.05070783778210912,0.0,0.01406733746130031,0.04659739280327514,0.08671538606321214,0.2412966653229811
normal,keys_per_second,10013,9.002955158294219,1.1118042701862418,5.58,8.31,9.04,9.74,11.82
normal,burst_density,10013,9.002955158294219,1.1118042701862418,5.58,8.31,9.04,9.74,11.82
normal,timing_variance,10013,0.12373413320001368,0.17457254912364364,0.03540309983724603,0.07920102687486802,0.09972318282274636,0.13220067897450855,2.598862627637365
normal,timing_entropy,10013,3.309915043814167,0.14174530179597303,2.7700967252891773,3.2156852272275387,3.314557624046803,3.4096162286107234,3.710108980954699
normal,pause_duration,10013,0.04039501338003636,0.04170547439424721,0.0030470657348632716,0.024199371337890616,0.03423944473266599,0.047357773780822746,0.570872597694397
normal,current_key_category_id,10013,1.8133905922301012,0.38972395003476745,1.12,1.54,1.74,2.0,4.04
featureguide_v4_all,hold_time,384,0.11297295961529012,0.01337578741967139,0.08416385173797604,0.10456278681755062,0.11237023353576657,0.1218887615203857,0.13791316032409665
featureguide_v4_all,flight_time,384,0.06662521593272681,0.028855650426761376,-0.013401284217834484,0.05627232313156126,0.07000309705734249,0.0856932616233825,0.12411777496337888
featureguide_v4_all,press_to_press_time,384,0.17940574970096346,0.03212019648644026,0.11380801200866696,0.16208988547325134,0.18191861152648925,0.2026690220832824,0.2359935998916626
featureguide_v4_all,release_to_release_time,384,0.17956786972781016,0.03209617385730885,0.11414898872375484,0.16234680771827695,0.18150552511215212,0.2035460829734802,0.23568035602569581
featureguide_v4_all,overlap_ratio,384,0.054578554057729885,0.08753791248683881,0.0,0.0,0.0,0.07932796421859024,0.3978345795772648
featureguide_v4_all,simultaneous_key_count,384,1.0539583333333333,0.08629876051337279,1.0,1.0,1.0,1.08,1.4
featureguide_v4_all,modifier_count,384,0.0,0.0,0.0,0.0,0.0,0.0,0.0
featureguide_v4_all,shortcut_flag,384,0.0,0.0,0.0,0.0,0.0,0.0,0.0
featureguide_v4_all,correction_ratio,384,0.04029462625220933,0.019147892390580686,0.00401190476190476,0.024064213564213562,0.03988744588744589,0.05363997644512348,0.07728271728271728
featureguide_v4_all,keys_per_second,384,6.01265625,1.0761238470868162,4.23,5.17,5.765,6.43,8.41
featureguide_v4_all,burst_density,384,6.01265625,1.0761238470868162,4.23,5.17,5.765,6.43,8.41
featureguide_v4_all,timing_variance,384,0.10757205279860228,0.03265551202324417,0.04558067028570471,0.08717033213230829,0.10809332335496266,0.12553854153965172,0.237448238586469
featureguide_v4_all,timing_entropy,384,2.641298894079233,0.2244592307922887,2.0752523662174234,2.531334447545645,2.6568533439761746,2.7892288551385622,3.1128057085608174
featureguide_v4_all,pause_duration,384,0.07321334851284818,0.02152548570598024,0.029153127670288055,0.06244580864906307,0.0745305204391479,0.08683226823806757,0.12411777496337888
featureguide_v4_all,current_key_category_id,384,2.0709375,0.4882762949487486,1.32,1.76,1.94,2.26,3.68
or95_false_negative,hold_time,209,0.11728701655374185,0.012494303335212896,0.09214218616485592,0.108077278137207,0.1174683856964111,0.12784373283386227,0.13791316032409665
or95_false_negative,flight_time,209,0.0576253350499714,0.032720402950408144,-0.013401284217834484,0.026158232688903785,0.0659108972549438,0.08562191963195798,0.11308429718017575
or95_false_negative,press_to_press_time,209,0.17470023433557536,0.036324073204302615,0.11380801200866696,0.13262734889984126,0.18209965229034425,0.2038373374938965,0.23343008518218994
or95_false_negative,release_to_release_time,209,0.17491235160371332,0.03629631056297903,0.11414898872375484,0.13304826259613034,0.18192408084869385,0.2037028694152832,0.23566582202911376
or95_false_negative,overlap_ratio,209,0.08881329442192887,0.10418907694178019,0.0,0.0,0.05954429893693594,0.13890289554043775,0.3978345795772648
or95_false_negative,simultaneous_key_count,209,1.0878468899521532,0.10248665721032414,1.0,1.0,1.06,1.14,1.4
or95_false_negative,modifier_count,209,0.0,0.0,0.0,0.0,0.0,0.0,0.0
or95_false_negative,shortcut_flag,209,0.0,0.0,0.0,0.0,0.0,0.0,0.0
or95_false_negative,correction_ratio,209,0.03904864995221099,0.022609819323897353,0.00401190476190476,0.0202583494936436,0.03789199689199688,0.06133694083694083,0.07728271728271728
or95_false_negative,keys_per_second,209,6.262344497607655,1.2648212689108647,4.68,5.15,5.79,7.82,8.41
or95_false_negative,burst_density,209,6.262344497607655,1.2648212689108647,4.68,5.15,5.79,7.82,8.41
or95_false_negative,timing_variance,209,0.09772885899752276,0.02547000878186555,0.04558067028570471,0.08055427287548853,0.10288676954722858,0.11238637768757603,0.1460850444327417
or95_false_negative,timing_entropy,209,2.7752513336959015,0.1565216058436775,2.510427687658178,2.6559775709497013,2.743902913498301,2.908429536026468,3.1128057085608174
or95_false_negative,pause_duration,209,0.06838566597568929,0.023187290156278864,0.029153127670288055,0.04759572982788083,0.06929600238800045,0.08676182746887204,0.11308429718017575
or95_false_negative,current_key_category_id,209,2.2729186602870812,0.5562681268318056,1.32,1.86,2.22,2.68,3.68
or95_detected,hold_time,175,0.10782074304308208,0.012575665668830364,0.08416385173797604,0.09873025894165036,0.1098377990722656,0.11359767675399776,0.13384660720825192
or95_detected,flight_time,175,0.07737364510127473,0.018424803296026894,0.02743102073669431,0.06655878067016599,0.07381584644317624,0.08745124101638789,0.12411777496337888
or95_detected,press_to_press_time,175,0.18502547948019843,0.02520561810606446,0.12506738185882565,0.16503660202026366,0.18174829959869385,0.19989922761917112,0.2359935998916626
or95_detected,release_to_release_time,175,0.18512788851601736,0.025210538269326642,0.12600189208984372,0.1655920076370239,0.18133081912994384,0.19918954133987427,0.23568035602569581
or95_detected,overlap_ratio,175,0.013692492708486546,0.02831228007243143,0.0,0.0,0.0,0.0,0.09927143441915379
or95_detected,simultaneous_key_count,175,1.0134857142857143,0.028463902758805358,1.0,1.0,1.0,1.0,1.1
or95_detected,modifier_count,175,0.0,0.0,0.0,0.0,0.0,0.0,0.0
or95_detected,shortcut_flag,175,0.0,0.0,0.0,0.0,0.0,0.0,0.0
or95_detected,correction_ratio,175,0.041782677947635925,0.013850893131668375,0.018929292929292928,0.031072510822510828,0.04255402930402928,0.051780982905982896,0.0743156843156843
or95_detected,keys_per_second,175,5.7144571428571425,0.6872656274636025,4.23,5.255,5.74,6.3,7.48
or95_detected,burst_density,175,5.7144571428571425,0.6872656274636025,4.23,5.255,5.74,6.3,7.48
or95_detected,timing_variance,175,0.11932763853817728,0.036282483717930226,0.061712528321549075,0.09488625241738738,0.11943614864406443,0.13387911104500322,0.237448238586469
or95_detected,timing_entropy,175,2.4813214090513247,0.1852555075184458,2.0752523662174234,2.391287735980838,2.525315032419258,2.6305612855870812,2.821532483009033
or95_detected,pause_duration,175,0.07897898080008367,0.01776958719422009,0.032019357681274375,0.0689018630981445,0.07603950500488278,0.08745124101638789,0.12411777496337888
or95_detected,current_key_category_id,175,1.8297142857142854,0.2176241317634144,1.36,1.74,1.88,1.97,2.3
