group,source_file,count,mean_reconstruction_error,mean_classifier_attack_probability,mean_prototype_attack_probability,mean_distance_to_normal_prototype,mean_distance_to_attack_prototype,classifier_detection_rate,prototype_detection_rate,recon90_detection_rate,recon95_detection_rate,latent95_detection_rate,oracle_or95_detection_rate,oracle_or90_detection_rate
AdaptiveMimic_v5_constrained,window1.csv,67,0.8324155158071376,1.0257573930813572e-06,0.00013054273477425355,1.2392852929101061,3.029407483428272,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AdaptiveMimic_v5_constrained,window2.csv,760,0.7897489282645678,1.0662030091093823e-06,0.0001380165456698466,1.2482343295687124,3.0310042961647636,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AdaptiveMimic_v5_constrained,window3.csv,74,0.7735466546303517,9.11317438233193e-07,0.00010784549571375514,1.228058033698314,3.055587336823747,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AdaptiveMimic_v5_constrained,window4.csv,99,0.7678270520585956,8.934193886608512e-07,0.00010724276907782004,1.2320107703257088,3.0624166209288317,0.0,0.0,0.0,0.0,0.0,0.0,0.0
normal,window_typing_10000.csv,10013,0.9419340434818374,9.38356631231589e-07,0.00012515777240234294,1.2528502555156842,3.06438829005211,0.0,0.0,0.10006990911814641,0.050034954559073204,0.050034954559073204,0.050034954559073204,0.10006990911814641
