label,count,mean,std,min,q50,q90,q95,q99,max
normal,10013,0.7315454165588234,2.9472912299144545,0.1523989588022232,0.4860543012619018,0.8040609836578371,0.9256664156913752,1.3652345085143964,57.3168830871582
attack_v4_window1_4,384,0.6691965098337581,0.13524258040632564,0.4482727944850921,0.653424471616745,0.8406236708164214,0.8976463079452515,1.0770934736728675,1.3111727237701416
