group,source_file,count,mean_reconstruction_error,mean_classifier_attack_probability,mean_prototype_attack_probability,mean_distance_to_normal_prototype,mean_distance_to_attack_prototype,classifier_detection_rate,prototype_detection_rate,recon90_detection_rate,recon95_detection_rate,latent95_detection_rate,oracle_or95_detection_rate,oracle_or90_detection_rate
FeatureGuideHumanMimic_v4,window1.csv,43,0.8288622969804809,0.9999682542889617,0.9971083347187486,2.7710129771121714,1.6023143280384153,1.0,1.0,0.023255813953488372,0.0,1.0,1.0,1.0
FeatureGuideHumanMimic_v4,window2.csv,193,0.8349818334060629,0.9999680327627943,0.9971031901749923,2.7706507203492476,1.60186025886338,1.0,1.0,0.0051813471502590676,0.0,1.0,1.0,1.0
FeatureGuideHumanMimic_v4,window3.csv,66,1.145531899098194,0.9999683463212216,0.9970960915088654,2.768698800693859,1.600578987237179,1.0,1.0,0.5606060606060606,0.3939393939393939,1.0,1.0,1.0
FeatureGuideHumanMimic_v4,window4.csv,82,0.8061182644309067,0.9999683848241481,0.9971170643480812,2.7718352428296718,1.6024906940576507,1.0,1.0,0.04878048780487805,0.012195121951219513,1.0,1.0,1.0
normal,window_typing_10000.csv,10013,0.9916555882110398,2.342753307063717e-05,0.0009029093133137753,1.32642453960709,2.7295022613695306,0.0,0.0,0.10006990911814641,0.050034954559073204,0.050034954559073204,0.050034954559073204,0.10006990911814641
