detector,V4,V5,V6,V7,V8_candidate,V8_hardest
d0,26.56,100.0,87.68,100.0,79.39,100.0
d1,0.0,0.0,100.0,100.0,67.18,100.0
d2,0.0,0.0,0.0,100.0,2.12,22.4
d3,0.0,0.0,0.0,0.0,0.0,0.0
