global_index,label,source_file,reconstruction_error
111,normal,window_typing_10000.csv,0.27606236934661865
112,normal,window_typing_10000.csv,0.2755044996738434
113,normal,window_typing_10000.csv,0.27135154604911804
114,normal,window_typing_10000.csv,0.27060604095458984
115,normal,window_typing_10000.csv,0.2658625841140747
116,normal,window_typing_10000.csv,0.2682751417160034
117,normal,window_typing_10000.csv,0.26339271664619446
118,normal,window_typing_10000.csv,0.28734302520751953
119,normal,window_typing_10000.csv,0.28495603799819946
120,normal,window_typing_10000.csv,0.2805154621601105
121,normal,window_typing_10000.csv,0.2866593897342682
122,normal,window_typing_10000.csv,0.2868446409702301
123,normal,window_typing_10000.csv,0.29367321729660034
124,normal,window_typing_10000.csv,0.3097817897796631
125,normal,window_typing_10000.csv,0.31378138065338135
126,normal,window_typing_10000.csv,0.30199337005615234
127,normal,window_typing_10000.csv,0.2872915267944336
128,normal,window_typing_10000.csv,0.27282002568244934
129,normal,window_typing_10000.csv,0.2583185136318207
130,normal,window_typing_10000.csv,0.24973919987678528
131,normal,window_typing_10000.csv,0.2439141869544983
132,normal,window_typing_10000.csv,0.22641947865486145
133,normal,window_typing_10000.csv,0.22840535640716553
134,normal,window_typing_10000.csv,0.23487699031829834
135,normal,window_typing_10000.csv,0.22205276787281036
136,normal,window_typing_10000.csv,0.2150452882051468
137,normal,window_typing_10000.csv,0.21749301254749298
138,normal,window_typing_10000.csv,0.2167889028787613
139,normal,window_typing_10000.csv,0.2183856964111328
140,normal,window_typing_10000.csv,0.22209765017032623
141,normal,window_typing_10000.csv,0.3630247414112091
142,normal,window_typing_10000.csv,0.3806237280368805
143,normal,window_typing_10000.csv,0.39775243401527405
144,normal,window_typing_10000.csv,0.4061541259288788
145,normal,window_typing_10000.csv,0.4332787096500397
146,normal,window_typing_10000.csv,0.4346558451652527
147,normal,window_typing_10000.csv,0.4504646360874176
148,normal,window_typing_10000.csv,0.45686718821525574
149,normal,window_typing_10000.csv,0.4920331835746765
150,normal,window_typing_10000.csv,0.48706093430519104
151,normal,window_typing_10000.csv,0.4881437122821808
152,normal,window_typing_10000.csv,0.4929651618003845
153,normal,window_typing_10000.csv,0.49280068278312683
154,normal,window_typing_10000.csv,0.48588621616363525
155,normal,window_typing_10000.csv,0.4786350727081299
156,normal,window_typing_10000.csv,0.47013574838638306
157,normal,window_typing_10000.csv,0.45671406388282776
158,normal,window_typing_10000.csv,0.4529675245285034
159,normal,window_typing_10000.csv,0.4540233910083771
160,normal,window_typing_10000.csv,0.45576319098472595
161,normal,window_typing_10000.csv,0.46545207500457764
162,normal,window_typing_10000.csv,0.4833129942417145
163,normal,window_typing_10000.csv,0.4958871304988861
164,normal,window_typing_10000.csv,0.5026866793632507
165,normal,window_typing_10000.csv,0.5060494542121887
166,normal,window_typing_10000.csv,0.4951402544975281
167,normal,window_typing_10000.csv,0.48855412006378174
168,normal,window_typing_10000.csv,0.47701582312583923
169,normal,window_typing_10000.csv,0.47030019760131836
170,normal,window_typing_10000.csv,0.47046035528182983
171,normal,window_typing_10000.csv,0.4604474902153015
172,normal,window_typing_10000.csv,0.4574173390865326
173,normal,window_typing_10000.csv,0.4512898325920105
174,normal,window_typing_10000.csv,0.4504615068435669
175,normal,window_typing_10000.csv,0.4473530948162079
176,normal,window_typing_10000.csv,0.44539615511894226
177,normal,window_typing_10000.csv,0.44767338037490845
178,normal,window_typing_10000.csv,0.45522427558898926
179,normal,window_typing_10000.csv,0.45723968744277954
180,normal,window_typing_10000.csv,0.46015775203704834
181,normal,window_typing_10000.csv,0.45976296067237854
182,normal,window_typing_10000.csv,0.4628675878047943
183,normal,window_typing_10000.csv,0.45961499214172363
184,normal,window_typing_10000.csv,0.44909965991973877
185,normal,window_typing_10000.csv,0.45163556933403015
186,normal,window_typing_10000.csv,0.4459018111228943
187,normal,window_typing_10000.csv,0.4457874000072479
188,normal,window_typing_10000.csv,0.4516119658946991
189,normal,window_typing_10000.csv,0.4525578022003174
190,normal,window_typing_10000.csv,0.4522649347782135
191,normal,window_typing_10000.csv,0.3205372393131256
192,normal,window_typing_10000.csv,0.2992987632751465
193,normal,window_typing_10000.csv,0.28676700592041016
194,normal,window_typing_10000.csv,0.28121402859687805
195,normal,window_typing_10000.csv,0.2522323429584503
196,normal,window_typing_10000.csv,0.24823063611984253
197,normal,window_typing_10000.csv,0.2423492819070816
198,normal,window_typing_10000.csv,0.23191626369953156
199,normal,window_typing_10000.csv,0.225051149725914
200,normal,window_typing_10000.csv,0.22267623245716095
201,normal,window_typing_10000.csv,0.21637560427188873
202,normal,window_typing_10000.csv,0.20792008936405182
203,normal,window_typing_10000.csv,0.20365788042545319
204,normal,window_typing_10000.csv,0.19670318067073822
205,normal,window_typing_10000.csv,0.19817154109477997
206,normal,window_typing_10000.csv,0.19759313762187958
207,normal,window_typing_10000.csv,0.19165708124637604
208,normal,window_typing_10000.csv,0.1883264183998108
209,normal,window_typing_10000.csv,0.18604841828346252
210,normal,window_typing_10000.csv,0.18494689464569092
211,normal,window_typing_10000.csv,0.19173413515090942
212,normal,window_typing_10000.csv,0.18686369061470032
213,normal,window_typing_10000.csv,0.18949605524539948
214,normal,window_typing_10000.csv,0.18706591427326202
215,normal,window_typing_10000.csv,0.17286600172519684
216,normal,window_typing_10000.csv,0.1693512499332428
217,normal,window_typing_10000.csv,0.1593298614025116
218,normal,window_typing_10000.csv,0.1523989588022232
219,normal,window_typing_10000.csv,0.15511181950569153
220,normal,window_typing_10000.csv,0.15596291422843933
221,normal,window_typing_10000.csv,0.16847842931747437
222,normal,window_typing_10000.csv,0.18295015394687653
223,normal,window_typing_10000.csv,0.21994563937187195
224,normal,window_typing_10000.csv,0.21735581755638123
225,normal,window_typing_10000.csv,0.24240881204605103
226,normal,window_typing_10000.csv,0.253576397895813
227,normal,window_typing_10000.csv,0.26425743103027344
228,normal,window_typing_10000.csv,0.26215070486068726
229,normal,window_typing_10000.csv,0.2510688304901123
230,normal,window_typing_10000.csv,0.2461664229631424
231,normal,window_typing_10000.csv,0.24891424179077148
232,normal,window_typing_10000.csv,0.2563092112541199
233,normal,window_typing_10000.csv,0.25729018449783325
234,normal,window_typing_10000.csv,0.26270967721939087
235,normal,window_typing_10000.csv,0.26360559463500977
236,normal,window_typing_10000.csv,0.276078462600708
237,normal,window_typing_10000.csv,0.2770286500453949
238,normal,window_typing_10000.csv,0.28073933720588684
239,normal,window_typing_10000.csv,0.27921608090400696
240,normal,window_typing_10000.csv,0.2775805592536926
241,normal,window_typing_10000.csv,0.274692177772522
242,normal,window_typing_10000.csv,0.2760550081729889
243,normal,window_typing_10000.csv,0.413379967212677
244,normal,window_typing_10000.csv,0.4476665258407593
245,normal,window_typing_10000.csv,0.4469682574272156
246,normal,window_typing_10000.csv,0.4549954831600189
247,normal,window_typing_10000.csv,0.4515417814254761
248,normal,window_typing_10000.csv,0.4473896026611328
249,normal,window_typing_10000.csv,0.44306766986846924
250,normal,window_typing_10000.csv,0.44339314103126526
251,normal,window_typing_10000.csv,0.44300082325935364
252,normal,window_typing_10000.csv,0.4437656104564667
253,normal,window_typing_10000.csv,0.44119077920913696
254,normal,window_typing_10000.csv,0.4395778775215149
255,normal,window_typing_10000.csv,0.43767261505126953
256,normal,window_typing_10000.csv,0.43614834547042847
257,normal,window_typing_10000.csv,0.4365173280239105
258,normal,window_typing_10000.csv,0.44389232993125916
259,normal,window_typing_10000.csv,0.44691455364227295
260,normal,window_typing_10000.csv,0.44685065746307373
261,normal,window_typing_10000.csv,0.442156583070755
262,normal,window_typing_10000.csv,0.4427630305290222
263,normal,window_typing_10000.csv,0.43826159834861755
264,normal,window_typing_10000.csv,0.43844684958457947
265,normal,window_typing_10000.csv,0.44370701909065247
266,normal,window_typing_10000.csv,0.44951772689819336
267,normal,window_typing_10000.csv,0.45802852511405945
268,normal,window_typing_10000.csv,0.46511250734329224
269,normal,window_typing_10000.csv,0.4684724807739258
270,normal,window_typing_10000.csv,0.46887296438217163
271,normal,window_typing_10000.csv,0.5983483195304871
272,normal,window_typing_10000.csv,0.594651997089386
273,normal,window_typing_10000.csv,0.5692178606987
274,normal,window_typing_10000.csv,0.569963276386261
275,normal,window_typing_10000.csv,0.5769671201705933
276,normal,window_typing_10000.csv,0.571996808052063
277,normal,window_typing_10000.csv,0.6072714924812317
278,normal,window_typing_10000.csv,0.635109543800354
279,normal,window_typing_10000.csv,0.6424039006233215
280,normal,window_typing_10000.csv,0.6511693596839905
281,normal,window_typing_10000.csv,0.6577361822128296
282,normal,window_typing_10000.csv,0.6471534371376038
283,normal,window_typing_10000.csv,0.648018479347229
284,normal,window_typing_10000.csv,0.6439832448959351
285,normal,window_typing_10000.csv,0.6428420543670654
286,normal,window_typing_10000.csv,0.6297855377197266
287,normal,window_typing_10000.csv,0.6231886744499207
288,normal,window_typing_10000.csv,0.6099308729171753
289,normal,window_typing_10000.csv,0.6049908995628357
290,normal,window_typing_10000.csv,0.6006034016609192
291,normal,window_typing_10000.csv,0.6103759407997131
292,normal,window_typing_10000.csv,0.6081175208091736
293,normal,window_typing_10000.csv,0.4910620152950287
294,normal,window_typing_10000.csv,0.46748071908950806
295,normal,window_typing_10000.csv,0.4769376516342163
296,normal,window_typing_10000.csv,0.47632312774658203
297,normal,window_typing_10000.csv,0.4767396152019501
298,normal,window_typing_10000.csv,0.48214688897132874
299,normal,window_typing_10000.csv,0.4866279363632202
300,normal,window_typing_10000.csv,0.4870922863483429
301,normal,window_typing_10000.csv,0.48931944370269775
302,normal,window_typing_10000.csv,0.4903191328048706
303,normal,window_typing_10000.csv,0.49584272503852844
304,normal,window_typing_10000.csv,0.49695074558258057
305,normal,window_typing_10000.csv,0.4941108226776123
306,normal,window_typing_10000.csv,0.49201858043670654
307,normal,window_typing_10000.csv,0.49264273047447205
308,normal,window_typing_10000.csv,0.4831412732601166
309,normal,window_typing_10000.csv,0.48336556553840637
310,normal,window_typing_10000.csv,0.48191046714782715
311,normal,window_typing_10000.csv,0.4812091290950775
312,normal,window_typing_10000.csv,0.4846572279930115
313,normal,window_typing_10000.csv,0.4878014326095581
314,normal,window_typing_10000.csv,0.5014029741287231
315,normal,window_typing_10000.csv,0.5024499297142029
316,normal,window_typing_10000.csv,0.5036213397979736
317,normal,window_typing_10000.csv,0.5166943073272705
318,normal,window_typing_10000.csv,0.514420747756958
