group,source_file,count,mean_recon,mean_cls_prob,mean_proto_prob,mean_latent_dist,recon90_detection,recon95_detection,or_recon95_detection,or_recon90_detection
FeatureGuideHumanMimic_v4,window1.csv,43,1.192653639372005,8.761727988099284e-07,0.00010455380952616576,1.2264241340548494,1.0,0.13953488372093023,0.13953488372093023,1.0
FeatureGuideHumanMimic_v4,window2.csv,193,1.1094259304703826,0.002812782577874845,0.0017318226672015647,1.244952805301686,0.5544041450777202,0.2538860103626943,0.25906735751295334,0.5595854922279793
FeatureGuideHumanMimic_v4,window3.csv,66,1.4983104422236935,0.3009557231391794,0.2953849908952896,1.7253373644568704,0.8939393939393939,0.8484848484848485,0.8484848484848485,0.8939393939393939
FeatureGuideHumanMimic_v4,window4.csv,82,1.1765198300524455,0.641008293151772,0.6302998224494265,2.299858651510099,0.7317073170731707,0.35365853658536583,0.7682926829268293,0.8780487804878049
normal,window_typing_10000.csv,10013,0.9419340434818374,9.38356631231589e-07,0.0001251577724023114,1.2528502555156842,0.10006990911814641,0.050034954559073204,0.050034954559073204,0.10006990911814641
