group,count,mean_reconstruction_error,mean_classifier_attack_probability,mean_prototype_attack_probability,mean_distance_to_normal_prototype,mean_distance_to_attack_prototype
FeatureGuideHumanMimic_v4,384,1.199912567467739,0.19002255853796454,0.18624669903260838,1.5507104288165767,2.7449463388572135
HumanMimic,380,1.6373578833906275,0.9999998952213086,0.9996428845744384,2.962069531490928,1.374552660553079
StrongHumanMimic,1840,4.5858796604301615,0.9999999997408494,0.9996490420206733,2.962586633796277,1.37167674685302
normal,10013,0.9419340434818374,9.38356631231589e-07,0.00012515777240234294,1.2528502555156842,3.06438829005211
