global_index,group,source_file,true_label,reconstruction_error,classifier_attack_probability,prototype_attack_probability,distance_to_normal_prototype,distance_to_attack_prototype,z0,z1,z2,z3,z4,z5,z6,z7,z8,z9,z10,z11,z12,z13,z14,z15,z16,z17,z18,z19,z20,z21,z22,z23,z24,z25,z26,z27,z28,z29,z30,z31,tsne_x,tsne_y
12233,FeatureGuideHumanMimic_v4,window1.csv,1,1.6886789798736572,7.945870379444386e-07,8.826058183331043e-05,1.2234916687011719,3.090517520904541,0.0,0.2780607044696808,0.2908821105957031,0.0,0.25512751936912537,0.0,0.0,0.0,0.0,0.0,0.0,0.27700328826904297,0.0,0.29606926441192627,0.0,0.0,0.2703917920589447,0.0,0.19867926836013794,0.30860599875450134,0.25058045983314514,0.0,0.3333057761192322,0.0,0.0,0.0,0.24964219331741333,0.28308048844337463,0.0,0.0,0.2905685007572174,0.0,-19.450596,21.678642
12234,FeatureGuideHumanMimic_v4,window1.csv,1,1.5080842971801758,7.124493777155294e-07,7.839870522730052e-05,1.2177380323410034,3.1084628105163574,0.0,0.2804466784000397,0.29378122091293335,0.0,0.259774386882782,0.0,0.0,0.0,0.0,0.0,0.0,0.27910369634628296,0.0,0.29732397198677063,0.0,0.0,0.24653461575508118,0.0,0.19052451848983765,0.31106817722320557,0.2590290307998657,0.0,0.3311479687690735,0.0,0.0,0.0,0.25704795122146606,0.2830171287059784,0.0,0.0,0.29067057371139526,0.0,-17.003223,20.042326
12235,FeatureGuideHumanMimic_v4,window1.csv,1,1.373542308807373,7.805220434420335e-07,8.788332343101501e-05,1.222276210784912,3.090158700942993,0.0,0.28038498759269714,0.292518675327301,0.0,0.2555398941040039,0.0,0.0,0.0,0.0,0.0,0.0,0.2771202623844147,0.0,0.29500022530555725,0.0,0.0,0.26562878489494324,0.0,0.19983765482902527,0.31068629026412964,0.2494858056306839,0.0,0.33282408118247986,0.0,0.0,0.0,0.24661706387996674,0.2822915017604828,0.0,0.0,0.29351747035980225,0.0,-19.365019,21.246813
12236,FeatureGuideHumanMimic_v4,window1.csv,1,1.2959613800048828,8.220105769396469e-07,9.411384962731972e-05,1.2237701416015625,3.0779523849487305,0.0,0.2805986702442169,0.29112300276756287,0.0,0.24953119456768036,0.0,0.0,0.0,0.0,0.0,0.0,0.274848610162735,0.0,0.2942233383655548,0.0,0.0,0.2802521884441376,0.0,0.2015746384859085,0.30630096793174744,0.24633857607841492,0.0,0.33546194434165955,0.0,0.0,0.0,0.24630974233150482,0.28113654255867004,0.0,0.0,0.29363131523132324,0.0,-20.503918,21.817667
12237,FeatureGuideHumanMimic_v4,window1.csv,1,1.2909342050552368,7.972413982315629e-07,8.831016748445109e-05,1.2221689224243164,3.0890822410583496,0.0,0.27733153104782104,0.2866232097148895,0.0,0.2513921558856964,0.0,0.0,0.0,0.0,0.0,0.0,0.27371567487716675,0.0,0.299017071723938,0.0,0.0,0.2756218910217285,0.0,0.20147714018821716,0.3019750416278839,0.247994527220726,0.0,0.33849889039993286,0.0,0.0,0.0,0.25249186158180237,0.28447556495666504,0.0,0.0,0.2913663685321808,0.0,-19.961615,21.962797
12238,FeatureGuideHumanMimic_v4,window1.csv,1,1.3100917339324951,7.549072620349762e-07,8.182057354133576e-05,1.2184921503067017,3.1006722450256348,0.0,0.2749386131763458,0.28852471709251404,0.0,0.254185289144516,0.0,0.0,0.0,0.0,0.0,0.0,0.27177828550338745,0.0,0.30008944869041443,0.0,0.0,0.2691592574119568,0.0,0.18955743312835693,0.30532556772232056,0.260418176651001,0.0,0.3319534361362457,0.0,0.0,0.0,0.26100170612335205,0.28801974654197693,0.0,0.0,0.2862595319747925,0.0,-18.219967,22.711645
12239,FeatureGuideHumanMimic_v4,window1.csv,1,1.2060240507125854,8.38580604067829e-07,9.543220221530646e-05,1.2233740091323853,3.0747737884521484,0.0,0.2760010063648224,0.2894928753376007,0.0,0.24771179258823395,0.0,0.0,0.0,0.0,0.0,0.0,0.27030956745147705,0.0,0.29573318362236023,0.0,0.0,0.29609954357147217,0.0,0.1959112584590912,0.3017606735229492,0.2522332966327667,0.0,0.3329097330570221,0.0,0.0,0.0,0.25288140773773193,0.28733059763908386,0.0,0.0,0.2829432189464569,0.0,-20.35604,23.244791
12240,FeatureGuideHumanMimic_v4,window1.csv,1,1.1609736680984497,9.268715643884207e-07,0.00011237106809858233,1.2317637205123901,3.0504822731018066,0.0,0.27440640330314636,0.28717929124832153,0.0,0.24124042689800262,0.0,0.0,0.0,0.0,0.0,0.0,0.2660478949546814,0.0,0.2910056412220001,0.0,0.0,0.32409292459487915,0.0,0.20166264474391937,0.2996414303779602,0.24855352938175201,0.0,0.3310636579990387,0.0,0.0,0.0,0.24997638165950775,0.28343167901039124,0.0,0.0,0.2808447778224945,0.0,-27.123646,25.490492
12241,FeatureGuideHumanMimic_v4,window1.csv,1,1.1376417875289917,9.939575420503388e-07,0.0001250235945917666,1.2348204851150513,3.0321969985961914,0.0,0.27480101585388184,0.287777304649353,0.0,0.23561204969882965,0.0,0.0,0.0,0.0,0.0,0.0,0.26453614234924316,0.0,0.285053014755249,0.0,0.0,0.34312838315963745,0.0,0.2013355791568756,0.2956012785434723,0.25053396821022034,0.0,0.32851263880729675,0.0,0.0,0.0,0.2521931529045105,0.28328683972358704,0.0,0.0,0.2733626365661621,0.0,-27.956524,26.188246
12242,FeatureGuideHumanMimic_v4,window1.csv,1,1.1364244222640991,9.301992349719512e-07,0.0001196302764583379,1.2334903478622437,3.039687395095825,0.0,0.27628958225250244,0.2871003746986389,0.0,0.23811815679073334,0.0,0.0,0.0,0.0,0.0,0.0,0.2639843821525574,0.0,0.2858714461326599,0.0,0.0,0.3347081243991852,0.0,0.20094452798366547,0.29790934920310974,0.25147494673728943,0.0,0.33009228110313416,0.0,0.0,0.0,0.25422900915145874,0.28025561571121216,0.0,0.0,0.276753693819046,0.0,-27.532434,26.186289
12243,FeatureGuideHumanMimic_v4,window1.csv,1,1.1360942125320435,9.561257456880412e-07,0.00012591011181939393,1.234319806098938,3.030282974243164,0.0,0.27763187885284424,0.2899586856365204,0.0,0.23461616039276123,0.0,0.0,0.0,0.0,0.0,0.0,0.2637113332748413,0.0,0.28028613328933716,0.0,0.0,0.3412157893180847,0.0,0.20035715401172638,0.2958447337150574,0.25501152873039246,0.0,0.3273954689502716,0.0,0.0,0.0,0.2602047920227051,0.27908650040626526,0.0,0.0,0.2716357409954071,0.0,-27.782412,26.910429
12244,FeatureGuideHumanMimic_v4,window1.csv,1,1.1230909824371338,9.393492632625566e-07,0.0001258550037164241,1.2335608005523682,3.029611587524414,0.0,0.2791944146156311,0.28826904296875,0.0,0.23416556417942047,0.0,0.0,0.0,0.0,0.0,0.0,0.2621968984603882,0.0,0.27978646755218506,0.0,0.0,0.34311404824256897,0.0,0.19864453375339508,0.29397404193878174,0.2591013014316559,0.0,0.3271240293979645,0.0,0.0,0.0,0.2633209824562073,0.27834153175354004,0.0,0.0,0.26930829882621765,0.0,-27.87078,27.355053
12245,FeatureGuideHumanMimic_v4,window1.csv,1,1.1176618337631226,9.338908171230287e-07,0.0001271880028070882,1.2331829071044922,3.0271263122558594,0.0,0.28094151616096497,0.2901884615421295,0.0,0.2327110320329666,0.0,0.0,0.0,0.0,0.0,0.0,0.26313310861587524,0.0,0.27672645449638367,0.0,0.0,0.3429504334926605,0.0,0.19684316217899323,0.29199910163879395,0.26398423314094543,0.0,0.3258686661720276,0.0,0.0,0.0,0.26880982518196106,0.27624601125717163,0.0,0.0,0.2661149501800537,0.0,-27.921776,27.91082
