epoch,train_loss,train_recon_loss,train_cls_loss,train_contrastive_loss,train_proto_loss,train_acc,valid_loss,valid_recon_loss,valid_cls_loss,valid_contrastive_loss,valid_proto_loss,valid_acc
1,2.2116955863509746,0.9747168659675135,0.638472705818449,5.867317597811852,0.21468853929950993,0.8847372344390607,1.5512049750670591,1.0883531123621808,0.18122343872236601,5.117053783774909,0.04012965710747615,0.9869597615499255
2,1.4495075816678058,0.9761559518246432,0.06738241249296233,5.369769742406219,0.03064877272035442,0.9994409243384271,1.335099423340287,1.09126273637024,0.013667492455512773,4.943906953189128,0.010543388682355112,1.0
3,1.3839528163422234,0.9780058299610964,0.014505205192768747,5.32048537932889,0.02389749199529659,0.9998136414461424,1.3258225933805485,1.0906475500804658,0.004887577725071932,4.946329069208637,0.00894984496471468,0.9996274217585693
4,1.3726147270184865,0.9760183697532372,0.006624844804145132,5.319677877017379,0.01849754897588076,1.0,1.3211058131273385,1.090794567024299,0.002140138636935841,4.943060664590531,0.0062303548732886285,1.0
5,1.3640133355741753,0.9748920514607581,0.0038319153868618615,5.301014449318265,0.015021756536108963,1.0,1.3204668142045841,1.0929234728727895,0.0012219677271179843,4.9428538416252765,0.005594102125864715,1.0
6,1.362494618022704,0.9757915507756282,0.002529771582501518,5.300744494439238,0.014156916412374576,1.0,1.3180053473940194,1.0871229254364434,0.0007185826191523191,4.942719316695735,0.005212012692264402,1.0
7,1.3581561920050138,0.9682409891076289,0.0017714735334968187,5.295709656016221,0.013540925311936156,1.0,1.319986138187471,1.0957210820762304,0.00046676438333551317,4.942512908031617,0.00460083459347109,1.0
8,1.3528559479391757,0.9580072192527268,0.0012950164510129472,5.290884122446851,0.011963802492895146,1.0,1.33242807356327,1.138637696399774,0.00032880705047916514,4.942448752470059,0.004036332348059036,1.0
9,1.3480401593182365,0.950415730298654,0.001011384304791121,5.284179380035116,0.010136277620700416,1.0,1.3271567094876762,1.1223706573736472,0.0002446560416276596,4.942441486921466,0.0034250665685764325,1.0
10,1.3454975655307264,0.9413170883160583,0.000844488180287778,5.288068164074727,0.00928856240584752,1.0,1.3250980670334862,1.1165615237594184,0.00018311529834102422,4.942318364156163,0.002965523829772491,1.0
11,1.3447851131444897,0.9417189245920683,0.0007076647974704498,5.286439451138741,0.008547692837702486,1.0,1.331411931980207,1.138348108254673,0.0001406320537289191,4.942322371435947,0.002604722147724201,1.0
12,1.3424587445253762,0.9415253436125529,0.000520832161816112,5.279537216212116,0.007145650944132059,1.0,1.3457986032909501,1.1871126056961083,0.00011447312562947124,4.942237266307439,0.002205805195462175,1.0
13,1.3427747453809717,0.9387133172808678,0.0005371225772503114,5.285879343959142,0.006895468759125198,1.0,1.3296525641809456,1.1334862220482749,9.162298112164908e-05,4.942255895645892,0.0021277463265546165,1.0
14,1.341656621738552,0.9382091775297718,0.00046007950243339124,5.283113057871963,0.006222288606586327,1.0,1.3352663616487415,1.152849589481439,7.34168635115677e-05,4.942215031909516,0.0017900477248853303,1.0
15,1.3405683737302334,0.934415938002913,0.00037859994757998954,5.285379326614567,0.005578203736330607,1.0,1.3374241583393511,1.1601583835087306,5.9081638288389596e-05,4.9422965810124815,0.001716404482194857,1.0
16,1.3405613375829752,0.9374923529217948,0.0003274907503130232,5.281656668873096,0.005309549143119253,1.0,1.3532284229949405,1.2131988704648706,4.86237689422533e-05,4.942269433273111,0.0015324763056715248,1.0
17,1.3452947149959198,0.9534468096092571,0.00027690027358850093,5.282751326146874,0.004866922585424862,1.0,1.3138314238603708,1.0818036856843178,4.078319551539087e-05,4.942736648411758,0.0014043342210727171,1.0
18,1.3416854262218696,0.9404132917573369,0.0002741440729226551,5.285163961681376,0.0045089234996821695,1.0,1.3230049116245504,1.1129510950757922,3.271108198939231e-05,4.9422913514377464,0.0012571142213321923,1.0
19,1.3384103348927847,0.9361726508360944,0.00019815365920852393,5.276955871141272,0.003938325836128467,1.0,1.3550905042540298,1.220133830200542,2.7868504932536444e-05,4.942297266066163,0.001126057914064034,1.0
20,1.3377219141751495,0.9311287380891019,0.00019648985181948322,5.281691027807292,0.003697117485287882,1.0,1.3443926990298685,1.1845037063969586,2.313719490176846e-05,4.942450990975347,0.0010564482842687233,1.0
21,1.3374441484439918,0.9279139877432013,0.00018858000017316236,5.2854719012697995,0.003573956189050915,1.0,1.3271995976500646,1.126496867611227,2.065918353368787e-05,4.943544323149452,0.0010420437003506677,1.0
22,1.334045993628628,0.9181336504818564,0.00017234083181692295,5.28401272198268,0.003261949081304322,1.0,1.340876655145125,1.1722422183537093,1.767156918260065e-05,4.943680584874842,0.0009003442155381861,1.0
23,1.3317930341611102,0.9135138009228104,0.00015466051954216145,5.280425902226946,0.002998024404695951,1.0,1.3386379826797281,1.1650034004458727,1.5373236411287563e-05,4.943436280092788,0.000868639004300175,1.0
24,1.3302100968369788,0.9067595409804923,0.00014027044182001816,5.282882367680422,0.0029309228366533133,1.0,1.3427099501145046,1.1782774427786313,1.3215693869812264e-05,4.944111390547319,0.0007823619115563323,1.0
25,1.3296426652840079,0.9051957089110981,0.00013666326296862884,5.283129979281829,0.0026425121416640824,1.0,1.3316224687323308,1.1419109588408434,1.1537057727951527e-05,4.943361183570145,0.0007308077986835157,1.0
26,1.3270999175418992,0.8997386147004652,0.00010629188727965475,5.278749635847833,0.002644165963499605,1.0,1.364447200351607,1.25097662308177,1.0248173638489413e-05,4.9438944509594345,0.0007300954224470997,1.0
