group,source_file,count,mean_attack_probability,detection_rate,accuracy
FeatureGuideHumanMimic_v4,window1.csv,43,0.06978018846335586,0.06976744186046512,0.06976744186046512
FeatureGuideHumanMimic_v4,window2.csv,193,0.1091270398646083,0.10880829015544041,0.10880829015544041
FeatureGuideHumanMimic_v4,window3.csv,66,0.5757611330048652,0.5757575757575758,0.5757575757575758
FeatureGuideHumanMimic_v4,window4.csv,82,0.5731742355348681,0.573170731707317,0.573170731707317
normal,window_typing_10000.csv,10013,1.1759850451239202e-05,0.0,1.0
