selection,rows,path
AdaptiveMimic_v7_D2_OR95_bypass,253,data/attack/AdaptiveMimic_v7_D2_OR95_bypass/AdaptiveMimic_v7_D2_OR95_bypass.csv
AdaptiveMimic_v7_D2_OR90_bypass,252,data/attack/AdaptiveMimic_v7_D2_OR90_bypass/AdaptiveMimic_v7_D2_OR90_bypass.csv
