selection,rows,path
AdaptiveMimic_v6_D1_OR95_bypass,2571,data/attack/AdaptiveMimic_v6_D1_OR95_bypass/AdaptiveMimic_v6_D1_OR95_bypass.csv
AdaptiveMimic_v6_D1_OR90_bypass,2431,data/attack/AdaptiveMimic_v6_D1_OR90_bypass/AdaptiveMimic_v6_D1_OR90_bypass.csv
