group,feature,normal_mean,group_mean,mean_diff,z_mean_diff,normal_std,group_std,std_ratio_to_normal,normal_iqr,group_iqr,iqr_ratio_to_normal,ks_statistic
FeatureGuideHumanMimic,hold_time,0.11009717424016105,0.11297295961529014,0.0028757853751290863,0.10067039398570737,0.028566346681203756,0.034090386057605566,1.1933757731798638,0.0373425483703613,0.046254158020019503,1.2386449248528344,0.08129356836113055
FeatureGuideHumanMimic,flight_time,0.011573146252702152,0.06662521593272684,0.05505206968002469,0.18881145620945755,0.2915716598200101,0.12112753274661678,0.4154297191345343,0.0750865936279296,0.0620205402374268,0.8259868671730144,0.5859477887080129
FeatureGuideHumanMimic,press_to_press_time,0.12167006235456986,0.17940574970096348,0.05773568734639363,0.19925481395200315,0.289758055031489,0.12577179393331578,0.4340579726753333,0.057595252990722684,0.09573864936828619,1.6622663222558907,0.44124039789939745
FeatureGuideHumanMimic,release_to_release_time,0.12167012661019846,0.17956786972781022,0.057897743117611755,0.19929903588725892,0.29050689011041586,0.1252434830323807,0.4311205251785187,0.08204197883605961,0.1027991771697998,1.2530070413735177,0.38264311083091984
FeatureGuideHumanMimic,overlap_ratio,0.23627840783293247,0.05457855405772989,-0.1816998537752026,-0.6915196477252613,0.26275443419850797,0.2262438536020351,0.8610467575634155,0.398407355457103,0.0,0.0,0.5954903625287127
FeatureGuideHumanMimic,simultaneous_key_count,1.7040147807849795,1.0539583333333333,-0.6500564474516461,-1.1574475964149815,0.561629268975198,0.22594134288537926,0.40229623947066223,1.0,0.0,0.0,0.59663189936416
FeatureGuideHumanMimic,modifier_count,0.020944771796664336,0.0,-0.020944771796664336,-0.14626276770701224,0.1431996134424317,0.0,0.0,0.0,0.0,,0.02094477179666432
FeatureGuideHumanMimic,shortcut_flag,0.020944771796664336,0.0,-0.020944771796664336,-0.14626276770701224,0.1431996134424317,0.0,0.0,0.0,0.0,,0.02094477179666432
FeatureGuideHumanMimic,correction_ratio,0.056583046863907624,0.04029462625220934,-0.016288420611698287,-0.16777871340197575,0.09708276027050805,0.052748365710691976,0.5433340127919287,0.0833333333333333,0.0769230769230769,0.9230769230769231,0.15373326134358667
FeatureGuideHumanMimic,keys_per_second,9.002955158294217,6.01265625,-2.990298908294217,-1.414625253425805,2.113845275314148,1.5670829502385244,0.7413423151349775,3.0,2.0,0.6666666666666666,0.6088573656330104
