group,feature,count,mean,std,min,q25,median,q75,iqr,q90,q95,q99,max
FeatureGuideHumanMimic,burst_density,19200,6.01265625,1.5670829502385244,0.5,5.0,6.0,7.0,2.0,8.0,9.0,10.0,11.5
FeatureGuideHumanMimic,correction_ratio,19200,0.04029462625220934,0.052748365710691976,0.0,0.0,0.0,0.0769230769230769,0.0769230769230769,0.1,0.1111111111111111,0.2222222222222222,0.25
FeatureGuideHumanMimic,current_key_category_id,19200,2.0709375,2.2342314920739548,1.0,1.0,1.0,1.0,0.0,5.0,7.0,10.0,10.0
FeatureGuideHumanMimic,flight_time,19200,0.06662521593272684,0.12112753274661678,-0.2385718822479248,0.0158047676086425,0.0319881439208984,0.0778253078460693,0.0620205402374268,0.192622423171997,0.2564406394958496,0.5918500423431396,1.2800726890563965
FeatureGuideHumanMimic,hold_time,19200,0.11297295961529014,0.034090386057605566,0.039475679397583,0.0886120796203613,0.1078765392303466,0.1348662376403808,0.046254158020019503,0.1599490642547607,0.1763811111450195,0.2105367183685302,0.242079496383667
FeatureGuideHumanMimic,keys_per_second,19200,6.01265625,1.5670829502385244,0.5,5.0,6.0,7.0,2.0,8.0,9.0,10.0,11.5
FeatureGuideHumanMimic,modifier_count,19200,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FeatureGuideHumanMimic,overlap_ratio,19200,0.05457855405772989,0.2262438536020351,0.0,0.0,0.0,0.0,0.0,0.0,0.9879263050396618,0.9974610836886167,0.999715417118107
FeatureGuideHumanMimic,pause_duration,19200,0.07321334851284819,0.11331963826133395,0.0,0.0158047676086425,0.0319881439208984,0.0778253078460693,0.0620205402374268,0.192622423171997,0.2564406394958496,0.5918500423431396,1.2800726890563965
FeatureGuideHumanMimic,press_to_press_time,19200,0.17940574970096348,0.12577179393331578,0.0,0.1126234531402587,0.1487255096435547,0.2083621025085449,0.09573864936828619,0.3123297691345215,0.4088129997253418,0.7267162799835205,1.3833842277526855
FeatureGuideHumanMimic,release_to_release_time,19200,0.17956786972781022,0.1252434830323807,0.0,0.1125261783599853,0.1514730453491211,0.2153253555297851,0.1027991771697998,0.3122611045837402,0.3925809860229492,0.7347519397735596,1.3847386837005615
FeatureGuideHumanMimic,shortcut_flag,19200,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FeatureGuideHumanMimic,simultaneous_key_count,19200,1.0539583333333333,0.22594134288537926,1.0,1.0,1.0,1.0,0.0,1.0,2.0,2.0,2.0
FeatureGuideHumanMimic,timing_entropy,19200,2.641298894079233,0.3947456516182567,-0.0,2.3709505944546687,2.721928094887362,2.9219280948873623,0.5509775004326936,3.095795255000934,3.180832987205441,3.3632869239960552,3.642149881636904
FeatureGuideHumanMimic,timing_variance,19200,0.10757205279860228,0.06714218831438029,0.0,0.06477922612072651,0.0956917686335071,0.1377125330860614,0.0729333069653349,0.197070875830994,0.2329899159277421,0.3721033334732055,0.5156153900958831
HumanMimic,burst_density,15000,4.8383,1.7183616114704103,0.5,3.5,5.0,6.0,2.5,7.0,7.5,9.0,9.5
HumanMimic,correction_ratio,15000,0.07426135174566288,0.07337695234177503,0.0,0.0,0.0769230769230769,0.1111111111111111,0.1111111111111111,0.1818181818181818,0.2222222222222222,0.2727272727272727,0.2857142857142857
HumanMimic,current_key_category_id,15000,1.5414666666666668,1.1945329531469469,1.0,1.0,1.0,1.0,0.0,3.0,5.0,5.0,7.0
HumanMimic,flight_time,15000,0.19972338954607646,0.26959109705009376,0.0,0.0514125823974609,0.0874755382537841,0.2721257209777832,0.2207131385803223,0.4720702171325683,0.617527961730957,1.491605281829834,2.732221364974976
HumanMimic,hold_time,15000,0.029455152273178055,0.012478563268154127,0.000110387802124,0.0204720497131347,0.0312213897705078,0.0398027896881103,0.019330739974975603,0.0477170944213867,0.0481624603271484,0.0551354885101318,0.0594499111175537
HumanMimic,keys_per_second,15000,4.8383,1.7183616114704103,0.5,3.5,5.0,6.0,2.5,7.0,7.5,9.0,9.5
HumanMimic,modifier_count,15000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HumanMimic,overlap_ratio,15000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HumanMimic,pause_duration,15000,0.19972338954607646,0.26959109705009376,0.0,0.0514125823974609,0.0874755382537841,0.2721257209777832,0.2207131385803223,0.4720702171325683,0.617527961730957,1.491605281829834,2.732221364974976
HumanMimic,press_to_press_time,15000,0.22913273785909016,0.26701765888968965,0.0,0.0869281291961669,0.1130042076110839,0.2975423336029053,0.2106142044067384,0.4962615966796875,0.6576542854309082,1.4989066123962402,2.7511749267578125
HumanMimic,release_to_release_time,15000,0.2291753395875295,0.2687473590817657,0.0,0.0881445407867431,0.1199233531951904,0.284285306930542,0.19614076614379888,0.5042502880096436,0.6553864479064941,1.5127465724945068,2.759878635406494
HumanMimic,shortcut_flag,15000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HumanMimic,simultaneous_key_count,15000,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0
HumanMimic,timing_entropy,15000,2.8089222091649457,0.4810249475013984,-0.0,2.584962500721156,2.866247897312731,3.1219280948873624,0.5369655941662064,3.321928094887362,3.3927474104487847,3.5469772536592092,3.7004397181410926
HumanMimic,timing_variance,15000,0.26254051499880304,0.17986803123134412,0.0,0.1388096862744741,0.1956116271013128,0.3377930490133959,0.1989833627389218,0.5341456183935949,0.6100072600020447,0.9134472884026532,1.3321785926818848
StrongHumanMimic,burst_density,74100,15.14780701754386,2.2176123360361233,0.5,14.0,15.0,16.5,2.5,18.0,19.0,19.5,20.0
StrongHumanMimic,correction_ratio,74100,0.03465755949633833,0.03221569718961938,0.0,0.0,0.032258064516129,0.0588235294117647,0.0588235294117647,0.0769230769230769,0.0967741935483871,0.125,0.1666666666666666
StrongHumanMimic,current_key_category_id,74100,1.4886099865047233,1.1832204437944231,1.0,1.0,1.0,1.0,0.0,3.0,4.0,5.0,10.0
StrongHumanMimic,flight_time,74100,0.0491475008952955,0.02843976833252351,0.0,0.0396335124969482,0.0406923294067382,0.0485000610351562,0.008866548538208001,0.0800497531890869,0.0973818302154541,0.1604781150817871,0.5353448390960693
StrongHumanMimic,hold_time,74100,0.01800770071675737,0.005915233658727298,0.0033018589019775,0.0152599811553955,0.0158627033233642,0.0236971378326416,0.008437156677246102,0.0242190361022949,0.0247607231140136,0.03209467887878404,0.0330259799957275
StrongHumanMimic,keys_per_second,74100,15.14780701754386,2.2176123360361233,0.5,14.0,15.0,16.5,2.5,18.0,19.0,19.5,20.0
StrongHumanMimic,modifier_count,74100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
StrongHumanMimic,overlap_ratio,74100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
StrongHumanMimic,pause_duration,74100,0.0491475008952955,0.02843976833252351,0.0,0.0396335124969482,0.0406923294067382,0.0485000610351562,0.008866548538208001,0.0800497531890869,0.0973818302154541,0.1604781150817871,0.5353448390960693
StrongHumanMimic,press_to_press_time,74100,0.06714665167083941,0.02977368542282867,0.0,0.0550131797790527,0.0635683536529541,0.071932315826416,0.016919136047363302,0.0954363346099853,0.1199147701263427,0.182896614074707,0.5613787174224854
StrongHumanMimic,release_to_release_time,74100,0.06715385079222971,0.029589131945753844,0.0,0.055351972579956,0.0635530948638916,0.07194185256958,0.016589879989623996,0.0950543880462646,0.1201376914978027,0.1768012046813964,0.5510256290435791
StrongHumanMimic,shortcut_flag,74100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
StrongHumanMimic,simultaneous_key_count,74100,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0
StrongHumanMimic,timing_entropy,74100,2.1291247440358103,0.28356734811244444,-0.0,1.927163117207194,2.0957537423041472,2.328333371814628,0.4011702546074343,2.5083614955614477,2.6337574414165545,2.8152023999804863,3.0220552088742005
StrongHumanMimic,timing_variance,74100,0.027966900686803717,0.019647560364647182,0.0,0.0164091505419446,0.0251125367487421,0.0308834747148117,0.0144743241728671,0.0487090615807943,0.059748518835364,0.1047422561711231,0.1503324320380809
normal,burst_density,500650,9.002955158294217,2.113845275314148,0.5,7.5,9.0,10.5,3.0,11.5,12.0,13.0,14.0
normal,correction_ratio,500650,0.056583046863907624,0.09708276027050805,0.0,0.0,0.0,0.0833333333333333,0.0833333333333333,0.2,0.25,0.4166666666666667,1.0
