tsne_1,tsne_2,label
31.090992,11.002047,normal
20.318163,-10.328719,normal
24.936758,16.665071,normal
24.27849,21.715258,normal
17.500519,0.15579672,normal
37.573288,3.4953578,normal
24.401804,3.9868054,normal
27.631327,7.0384192,normal
19.1641,-0.6923223,normal
16.890947,-4.681335,normal
18.359213,3.8462958,normal
24.570593,5.048486,normal
34.91123,-3.7789683,normal
3.921384,2.9335995,normal
25.780344,-2.5225863,normal
30.445013,-7.414097,normal
6.2393007,-13.627388,normal
29.446833,3.0113432,normal
6.450549,5.770769,normal
19.019833,-10.580426,normal
18.128483,-3.2248166,normal
32.49715,-3.8524392,normal
6.7283993,-4.009421,normal
25.338644,18.27172,normal
25.82101,5.1724977,normal
12.412507,-9.82444,normal
27.886873,-7.3393703,normal
7.9669204,-7.8161745,normal
24.674948,7.674393,normal
19.137653,12.862946,normal
5.3995442,16.492004,normal
33.466114,19.473862,normal
33.13356,3.749498,normal
20.141815,-6.2077484,normal
28.175852,21.169254,normal
13.056958,14.978398,normal
22.352253,-8.752565,normal
21.597284,6.7860646,normal
16.348038,-1.7854288,normal
23.196009,-3.9857516,normal
7.7684197,6.8372707,normal
18.177076,-12.064575,normal
13.524412,9.624467,normal
19.630592,18.206148,normal
9.115004,-11.71174,normal
14.190823,-10.167589,normal
9.4310255,8.3196125,normal
31.13546,14.137768,normal
26.8909,2.1485589,normal
11.549279,-15.778028,normal
25.756233,4.430077,normal
26.138294,-3.067243,normal
26.490593,-0.64682794,normal
15.933211,21.163294,normal
8.840621,10.934581,normal
34.227966,-10.815554,normal
30.942165,14.5543785,normal
26.27411,-10.779912,normal
13.214361,-11.052624,normal
20.513191,-3.5479772,normal
-2.3947964,-4.705262,normal
12.988192,-4.277381,normal
28.140173,21.049835,normal
6.702419,14.519051,normal
27.426638,-1.1591154,normal
6.422355,-11.230824,normal
21.879417,-0.27284527,normal
19.44498,-5.9567137,normal
27.730515,2.6187446,normal
10.750273,2.9876711,normal
12.926342,18.77197,normal
14.409731,1.2168851,normal
29.067394,-8.617515,normal
37.331406,-4.6611295,normal
24.650452,10.752501,normal
0.58325195,2.3158667,normal
14.653594,-0.31762296,normal
13.344073,-10.192781,normal
22.13229,18.079088,normal
17.756914,16.840944,normal
20.931597,9.623229,normal
10.041182,-15.521502,normal
3.8159273,7.289913,normal
8.252864,-8.849936,normal
5.6978703,-15.530183,normal
20.239016,5.5767245,normal
6.6123037,-7.7316785,normal
16.917881,15.3482485,normal
29.408392,0.14984347,normal
-2.6705046,-4.8575687,normal
37.03034,3.869714,normal
10.0737,-15.0383,normal
29.812239,2.9051735,normal
11.405412,14.075229,normal
22.871378,-4.4169393,normal
15.748438,13.395851,normal
36.783607,3.3733628,normal
19.813803,21.27506,normal
19.847443,21.603037,normal
12.525382,3.715884,normal
9.012324,1.7830741,normal
24.59091,3.543786,normal
34.208607,7.6185946,normal
12.259017,0.22984263,normal
22.040693,-15.93544,normal
32.50691,-3.7948835,normal
7.5541997,8.68944,normal
10.781867,-10.574105,normal
23.079033,12.410986,normal
24.807476,12.114598,normal
34.35991,6.101763,normal
23.135893,-0.0024671338,normal
15.152724,6.582233,normal
24.605003,3.062176,normal
20.53015,0.7281837,normal
6.3075,0.6648297,normal
18.531918,-19.363337,normal
11.2638855,1.5335124,normal
21.875647,8.42873,normal
24.851242,8.083269,normal
11.787456,-13.1473055,normal
36.083954,12.545341,normal
19.012007,0.35950577,normal
2.2943683,-10.99497,normal
3.1308982,11.504332,normal
18.338606,3.6915326,normal
3.6174333,6.0527434,normal
26.246431,6.3689103,normal
25.919132,-10.154684,normal
6.0147567,-18.9798,normal
16.307302,8.306309,normal
2.0767608,-4.179399,normal
17.983793,10.555056,normal
15.268573,13.651359,normal
27.229416,13.751211,normal
14.236462,6.706231,normal
35.972263,6.737315,normal
26.965605,4.8216615,normal
9.244864,-1.0920225,normal
-7.992885,-4.108116,normal
11.075308,10.521962,normal
16.37995,11.758502,normal
24.197853,-5.088427,normal
13.890799,-18.389105,normal
14.865489,-6.4499626,normal
26.11774,9.262937,normal
13.189833,1.230311,normal
26.399113,-14.548255,normal
24.017212,-3.014988,normal
16.675346,-6.364138,normal
20.411837,-12.021239,normal
27.063862,16.44574,normal
17.300182,7.7008123,normal
22.442936,13.699038,normal
24.026876,-3.414744,normal
22.420732,18.229347,normal
13.99462,5.401633,normal
2.710247,-15.766481,normal
19.473871,7.8553762,normal
12.760087,4.2475286,normal
30.632715,5.9589744,normal
11.209566,16.905819,normal
-14.586214,-1.1939662,normal
23.435087,3.8944573,normal
19.745886,-3.684863,normal
11.949101,-9.495129,normal
7.208391,-13.856387,normal
14.187425,-7.6274643,normal
12.330828,14.375246,normal
38.903347,-0.611556,normal
24.043053,-1.5567689,normal
36.93276,12.925075,normal
30.417955,2.654452,normal
11.257311,-7.816479,normal
20.02589,-8.112385,normal
10.361651,14.894596,normal
9.657464,-2.6231189,normal
18.447214,-19.80669,normal
9.336812,-5.551874,normal
20.916866,13.350714,normal
15.060738,-3.3789136,normal
14.440057,-18.29411,normal
38.93007,-0.60896903,normal
6.778192,-16.703577,normal
17.0858,-12.900813,normal
18.910547,-7.2845507,normal
13.951615,12.884387,normal
25.287695,2.5237617,normal
14.554756,5.8449326,normal
29.781446,11.799933,normal
13.179413,-7.036179,normal
34.30583,-10.74893,normal
19.135744,7.320451,normal
20.206549,24.014776,normal
26.63959,16.218477,normal
5.0140624,16.81084,normal
4.879527,4.1294994,normal
4.315125,-7.5766234,normal
24.635387,-6.672221,normal
10.258114,-12.917388,normal
9.331103,15.949205,normal
18.371016,-5.1341653,normal
33.42249,19.422276,normal
12.183846,8.805086,normal
24.28381,8.58374,normal
-9.107441,-4.198415,normal
26.340092,3.363981,normal
12.148557,0.13484932,normal
25.981424,-5.8295407,normal
7.3080773,14.626518,normal
23.259094,5.5029,normal
16.505531,-0.2990216,normal
16.224356,23.749397,normal
17.296738,18.27569,normal
13.986368,0.26914254,normal
14.83543,8.065574,normal
19.77045,16.971006,normal
15.287718,-8.937811,normal
7.4757586,0.6327326,normal
1.7285713,-14.34958,normal
23.440243,11.257961,normal
37.18959,-5.7425046,normal
24.0056,14.742332,normal
25.971586,9.7212925,normal
32.565193,-12.77724,normal
26.210445,7.6158433,normal
18.657816,0.9444751,normal
19.762524,2.991432,normal
18.174307,19.377178,normal
23.852116,5.887119,normal
28.521132,11.046357,normal
26.504519,-11.070961,normal
20.356377,-10.81057,normal
8.311249,3.4915972,normal
28.513296,7.68129,normal
30.499563,-1.9220883,normal
24.086304,12.180091,normal
30.886862,-0.46005756,normal
16.283693,2.4548078,normal
13.737328,13.887185,normal
18.227835,-13.910434,normal
17.631676,-1.4731914,normal
25.800419,1.0653332,normal
18.686844,-8.564394,normal
21.152897,6.5364428,normal
21.581211,15.1249485,normal
17.007986,-16.222095,normal
-20.026598,-18.530712,normal
13.844526,11.206971,normal
21.685934,3.8470354,normal
8.708804,18.756037,normal
0.5859388,2.3120253,normal
5.34629,-15.907953,normal
6.737254,-11.19457,normal
18.266438,-1.9780879,normal
24.80469,-6.9959354,normal
2.5693045,11.536493,normal
3.126475,-4.0865636,normal
20.266914,-8.745283,normal
5.051786,1.753443,normal
14.126976,-2.6888115,normal
14.560858,-8.076773,normal
22.80128,9.393638,normal
36.82467,-6.912609,normal
37.330273,-4.7636356,normal
30.128075,17.085485,normal
16.754482,6.2415156,normal
6.4183993,11.148805,normal
15.017586,-13.247394,normal
28.212406,-1.8147832,normal
7.29572,-17.039328,normal
22.81835,-2.6847217,normal
18.803137,5.7471337,normal
16.47816,1.5508698,normal
18.163069,12.911172,normal
10.498189,8.311997,normal
31.502048,0.23736255,normal
8.099136,-14.363705,normal
36.227318,6.770574,normal
19.725769,18.773996,normal
23.545946,2.2442298,normal
10.732574,3.0036755,normal
21.66751,10.644253,normal
25.231195,16.248352,normal
21.697443,-7.9721665,normal
17.679873,-0.8614745,normal
23.70397,-12.001218,normal
-1.8846606,2.0491328,normal
26.844038,14.217756,normal
10.327467,-1.773159,normal
24.147972,12.35941,normal
18.982273,17.59572,normal
30.377275,-0.6482706,normal
19.759954,15.779772,normal
16.17628,18.930168,normal
10.6448145,7.346288,normal
13.958782,8.793723,normal
14.370615,1.9779353,normal
12.981818,12.468193,normal
26.486439,11.535634,normal
-16.646757,-11.003406,attack
-19.589464,-11.0755625,attack
-21.568836,-10.254303,attack
-22.669558,-11.874602,attack
-21.55475,-13.946377,attack
-23.647596,-14.903914,attack
-25.297758,-12.967734,attack
-26.313553,-13.744471,attack
-27.748716,-13.158843,attack
-29.119514,-13.852858,attack
-29.682743,-15.499396,attack
-31.302582,-13.574878,attack
-32.63414,-13.605637,attack
-33.174305,-15.889954,attack
-35.444874,-15.670036,attack
-35.135597,-12.914656,attack
-36.969044,-12.37973,attack
-38.61261,-12.700242,attack
-39.75514,-12.222091,attack
-40.23568,-10.797762,attack
-40.802456,-10.078223,attack
-41.39216,-9.234318,attack
-41.984715,-8.474452,attack
-42.22889,-7.443273,attack
-42.46492,-6.9571414,attack
-42.611946,-5.647092,attack
-42.633247,-4.6972713,attack
-42.619152,-4.0359163,attack
-42.37914,-3.111421,attack
-41.979786,-2.2952309,attack
-41.61522,-1.4787123,attack
-41.276485,-0.7231297,attack
-40.898205,-0.10591117,attack
-40.33812,0.40751857,attack
-39.46613,0.95339996,attack
-38.388077,0.8822533,attack
-38.077724,2.4163349,attack
-37.003693,0.84836453,attack
-37.309494,2.8689582,attack
-36.07381,0.7570804,attack
-36.410538,3.2356308,attack
-35.68529,0.6882159,attack
-35.93412,3.3819323,attack
-16.615873,-10.896126,attack
-19.602032,-10.938356,attack
-21.547966,-10.155207,attack
-22.653875,-11.898273,attack
-21.596346,-13.97224,attack
-23.661459,-14.89086,attack
-25.553947,-13.143531,attack
-26.439405,-13.624045,attack
-27.876797,-13.473404,attack
-29.147047,-14.368038,attack
-29.787762,-15.140006,attack
-31.849669,-14.162347,attack
-32.67232,-14.385419,attack
-33.96496,-15.420329,attack
-35.157257,-15.085494,attack
-36.013916,-13.433633,attack
-37.13516,-13.173774,attack
-39.1505,-13.317261,attack
-40.22947,-12.7684355,attack
-41.049095,-11.258342,attack
-41.78821,-10.711999,attack
-42.57181,-9.674148,attack
-42.884098,-9.014365,attack
-43.631355,-7.3266854,attack
-43.82498,-6.7006655,attack
-43.96525,-5.602592,attack
-44.04163,-4.413788,attack
-44.000034,-3.4660888,attack
-43.907257,-2.384262,attack
-43.69192,-1.2656435,attack
-43.393684,-0.100022145,attack
-43.104374,0.6712705,attack
-42.607117,1.7210453,attack
-42.123337,2.3270955,attack
-41.573036,3.052739,attack
-41.06954,3.910271,attack
-40.66722,4.5251293,attack
-40.115376,5.2067213,attack
-39.606503,5.799155,attack
-39.088764,6.3949876,attack
-38.591812,6.9665713,attack
-37.782425,7.9154067,attack
-37.395313,8.373581,attack
-36.652058,9.20076,attack
-36.019363,9.778378,attack
-35.446693,10.189972,attack
-34.518715,10.69777,attack
-34.113766,10.858045,attack
-23.514189,-18.631315,attack
-23.952631,-18.854866,attack
-24.641483,-19.132942,attack
-25.581676,-19.447886,attack
-26.515215,-19.722593,attack
-27.206388,-19.90157,attack
-28.208782,-20.140635,attack
-28.782394,-20.277258,attack
-29.566357,-20.44842,attack
-30.450237,-20.61097,attack
-31.389114,-20.734463,attack
-32.08693,-20.78536,attack
-32.980103,-20.802217,attack
-33.630627,-20.768631,attack
-34.54452,-20.638527,attack
-35.513065,-20.442513,attack
-36.280678,-20.239212,attack
-37.27214,-19.95369,attack
-38.049034,-19.717844,attack
-38.898388,-19.466805,attack
-39.823425,-19.199953,attack
-40.571728,-18.975918,attack
-41.243202,-18.734312,attack
-41.873775,-18.46321,attack
-42.440018,-18.16239,attack
-43.042446,-17.775984,attack
-43.520664,-17.360924,attack
-44.041473,-16.825891,attack
-44.373188,-16.397396,attack
-44.869896,-15.660868,attack
-45.26371,-15.017435,attack
-45.74309,-14.142516,attack
-46.329113,-13.20394,attack
-46.59884,-12.832944,attack
-47.025314,-12.269831,attack
-47.67832,-11.407926,attack
-47.954266,-11.012802,attack
-48.611504,-9.997667,attack
-48.818295,-9.67101,attack
-49.264145,-8.846098,attack
-49.643536,-7.8826475,attack
-49.807655,-6.9750676,attack
-49.755157,-6.498995,attack
-49.687954,-5.911725,attack
-49.63045,-5.418247,attack
-49.48443,-4.8111563,attack
-49.30704,-4.098071,attack
-49.105457,-3.439706,attack
-48.920437,-3.131314,attack
-48.586487,-2.3475926,attack
-48.45379,-2.0743723,attack
-48.15688,-1.4689864,attack
-47.785576,-0.8219042,attack
-47.54548,-0.45289418,attack
-47.158215,0.07551787,attack
-33.853443,5.602728,attack
-33.22003,5.665558,attack
-32.73852,5.697265,attack
-32.285324,5.5823817,attack
-31.822062,5.563025,attack
-31.221582,5.421912,attack
-30.62356,5.3184667,attack
-29.973976,5.1846657,attack
-29.323975,5.0981913,attack
-28.721321,5.0299335,attack
-28.191404,4.9157987,attack
-27.666859,4.890568,attack
-27.007801,4.8136277,attack
-26.619732,4.70149,attack
-25.853045,4.4732327,attack
-25.372612,4.2307706,attack
-23.441353,0.23832193,attack
-22.77017,-0.7930423,attack
-22.115198,-2.1032715,attack
-21.914782,-3.5582957,attack
-21.765486,-4.2586894,attack
-21.399502,-5.0625587,attack
-20.644238,-5.2077546,attack
-18.170204,0.90649325,attack
-17.794067,1.7148695,attack
-17.317163,2.9265885,attack
-17.452826,3.2991672,attack
-18.231686,3.7573123,attack
-18.81434,4.407154,attack
-18.651876,5.203448,attack
-17.910788,5.2104487,attack
-16.956463,4.544216,attack
-16.216494,4.5811267,attack
-16.091513,5.396591,attack
-16.957338,6.316752,attack
-17.536295,7.175712,attack
-17.075605,7.788178,attack
-15.926256,8.096358,attack
-15.051049,7.770749,attack
-14.801719,6.845706,attack
-15.271334,6.4701095,attack
-17.982283,8.489493,attack
-17.432835,8.801856,attack
-16.2991,9.597219,attack
-14.147296,8.721262,attack
-14.488584,10.370456,attack
-12.734575,6.719337,attack
-16.675472,12.393131,attack
-11.458121,8.90281,attack
-15.505791,12.201858,attack
-11.459987,7.8204083,attack
-14.584108,12.577111,attack
-11.048022,7.1015797,attack
-15.872755,13.175886,attack
-10.650807,8.317822,attack
-15.170556,13.1891575,attack
-10.513658,7.7234735,attack
-14.4650755,13.417989,attack
-9.978426,7.1812677,attack
-15.077237,14.42393,attack
-9.435192,8.073577,attack
-14.63837,14.48594,attack
-9.116578,7.6748905,attack
-13.647566,14.630777,attack
-8.393962,7.020584,attack
-14.258527,15.682029,attack
-8.124615,8.379423,attack
-13.796237,16.284481,attack
-6.977346,8.428366,attack
-13.331834,17.122793,attack
-6.434619,8.950421,attack
-12.852808,17.633804,attack
-6.058185,9.25917,attack
-12.403376,18.064058,attack
-5.6186967,9.619077,attack
-11.943658,18.460697,attack
-5.2400627,9.971187,attack
-11.470362,18.793215,attack
-4.70873,10.445406,attack
-10.946581,19.13788,attack
-4.2679706,10.841295,attack
-10.441262,19.447603,attack
-3.8845465,11.157679,attack
-9.912048,19.742949,attack
-3.421857,11.533377,attack
-9.4288225,19.994732,attack
-3.1128998,11.78662,attack
-9.171384,20.132572,attack
-2.9417295,11.912669,attack
-8.806372,20.31002,attack
-16.335566,-10.164144,attack
-19.215832,-9.797156,attack
-20.98081,-8.905251,attack
-19.885038,-7.406345,attack
-18.538788,-6.003835,attack
-18.008818,-4.779009,attack
-18.21677,-3.31019,attack
-18.279036,-3.0603573,attack
-18.891663,-2.0698361,attack
-19.657213,-1.332315,attack
-20.265072,-0.6470515,attack
-21.361757,0.71179605,attack
-22.205944,1.6113473,attack
-23.136024,2.8185213,attack
-24.492523,2.2081609,attack
-25.90534,2.3841062,attack
-27.27864,2.207095,attack
-26.55928,1.2183434,attack
-25.637983,0.8357634,attack
-25.62901,0.3218706,attack
-26.681553,-2.69115,attack
-27.492039,-2.549606,attack
-24.078007,-0.19281057,attack
-23.173851,-1.2268748,attack
-21.649694,-2.3438513,attack
-22.606625,-6.1598535,attack
-22.039581,-7.104354,attack
-22.507578,-8.317826,attack
-23.78862,-8.559697,attack
-24.925241,-9.221353,attack
-25.806309,-10.028105,attack
-26.998938,-9.951574,attack
-27.601768,-10.243063,attack
-28.409164,-10.363079,attack
-31.073582,-10.463539,attack
-31.74142,-10.308657,attack
-32.430172,-10.1493025,attack
-33.05081,-10.274212,attack
-33.64386,-10.099619,attack
-34.30212,-9.861063,attack
-35.010494,-9.71131,attack
-35.504482,-9.58461,attack
-36.058945,-9.338963,attack
-36.37412,-8.942075,attack
-36.630302,-8.598134,attack
-37.00077,-8.313709,attack
-37.467743,-8.345629,attack
-37.74687,-7.8311043,attack
-37.249004,-7.2540913,attack
-37.44985,-6.826032,attack
-38.249073,-6.693203,attack
-38.42902,-6.223623,attack
-37.928185,-5.629342,attack
-38.071934,-5.040532,attack
-39.038715,-5.0658693,attack
-39.04656,-4.464227,attack
-38.832966,-4.031434,attack
-38.649746,-3.6370413,attack
-39.027496,-3.270063,attack
-39.145912,-2.7474961,attack
-38.689476,-2.4355707,attack
-38.34167,-2.2019634,attack
-38.355587,-1.7380773,attack
-38.13932,-1.4752865,attack
-37.58525,-1.5727929,attack
-37.340927,-1.6037445,attack
-23.826664,-2.6647682,attack
-23.735426,-3.5105188,attack
-23.680456,-4.46293,attack
-23.983608,-5.2959986,attack
-24.297922,-6.3276343,attack
-25.235672,-6.6938777,attack
-26.811043,-4.4354453,attack
-27.600422,-4.594257,attack
-28.085121,-5.307037,attack
-26.668816,-6.906642,attack
-26.17623,-7.7204943,attack
-26.97201,-8.05818,attack
-27.534645,-8.237259,attack
-29.156956,-6.626845,attack
-29.965797,-7.0077357,attack
-30.917664,-7.1441593,attack
-31.629913,-6.7169857,attack
-31.207926,-5.72254,attack
-30.674986,-5.369166,attack
-29.971418,-4.7496457,attack
-29.562477,-3.996533,attack
-29.645391,-2.9346335,attack
-30.389677,-2.9309733,attack
-31.063065,-3.1822536,attack
-31.512537,-3.3399968,attack
-32.36012,-3.2296307,attack
-32.683258,-2.6897547,attack
-32.855896,-2.1103954,attack
-32.47675,-1.316637,attack
-31.88851,-0.96083766,attack
-31.289824,-0.60561305,attack
-31.123186,-0.098735616,attack
-31.580805,0.7716325,attack
-31.231144,1.1215919,attack
-30.630018,1.5540655,attack
-30.07424,1.7856055,attack
-29.434074,1.9272368,attack
-28.948833,1.2491382,attack
-28.728601,0.79760104,attack
-28.286585,0.6479824,attack
-27.794205,0.3255159,attack
-27.5055,-0.2536389,attack
-27.015,-0.45469025,attack
-26.664724,-1.1700672,attack
-26.390966,-1.4237847,attack
-25.272644,-1.1982884,attack
-25.043398,-1.7146939,attack
-25.098019,-2.3462021,attack
-24.864544,-2.8065324,attack
-24.667633,-3.3998685,attack
-24.572289,-4.148488,attack
-24.896273,-4.7078595,attack
