method,tp,tn,fp,fn,accuracy,precision,recall_attack_detection_rate,f1,normal_false_positive_rate
classifier_prob_0.5,65,10013,0,319,0.9693180725209195,1.0,0.16927083333333334,0.289532293986637,0.0
recon_90_0.814177,81,9011,1002,303,0.8744830239492161,0.07479224376731301,0.2109375,0.11042944785276074,0.10006990911814641
recon_95_0.938050,37,9512,501,347,0.9184380109647013,0.0687732342007435,0.09635416666666667,0.08026030368763558,0.050034954559073204
recon_99_1.542833,1,9912,101,383,0.9534481100317399,0.00980392156862745,0.0026041666666666665,0.004115226337448559,0.01008688704683911
hybrid_classifier_or_recon95,81,9512,501,303,0.922670000961816,0.13917525773195877,0.2109375,0.16770186335403725,0.050034954559073204
