group,source_file,count,mean_reconstruction_error,mean_attack_probability,classifier_detection_rate,recon95_detection_rate,hybrid_or95_detection_rate
FeatureGuideHumanMimic_v4,window1.csv,43,0.5884369743424792,5.447572464110508e-06,0.0,0.023255813953488372,0.023255813953488372
FeatureGuideHumanMimic_v4,window2.csv,193,0.702984103267057,5.321697767841189e-06,0.0,0.0051813471502590676,0.0051813471502590676
FeatureGuideHumanMimic_v4,window3.csv,66,0.9825236427061486,0.2891032414646588,0.30303030303030304,0.5151515151515151,0.5151515151515151
FeatureGuideHumanMimic_v4,window4.csv,82,0.6816722965095101,0.5248976696879886,0.5487804878048781,0.012195121951219513,0.5487804878048781
normal,window_typing_10000.csv,10013,0.7695370207749129,3.495426507454399e-06,0.0,0.050034954559073204,0.050034954559073204
